year,month,deaths
2003,Jan,5621
2003,Feb,5231
2003,Mar,5467
2003,Apr,5444
2003,May,5957
2004,Jan,5540
2004,Feb,5005
2004,Mar,5539
2004,Apr,5553
2004,May,6327
2005,Jan,5948
2005,Feb,5179
2005,Mar,5504
2005,Apr,5467
2005,May,6022
2006,Jan,6086
2006,Feb,4891
2006,Mar,5505
2006,Apr,5595
2006,May,6309
2007,Jan,5689
2007,Feb,5090
2007,Mar,5684
2007,Apr,5561
2007,May,6402
2008,Jan,5677
2008,Feb,5351
2008,Mar,5723
2008,Apr,5599
2008,May,6528
2009,Jan,5944
2009,Feb,5286
2009,Mar,5820
2009,Apr,5725
2009,May,6273
2010,Jan,6200
2010,Feb,6345
2010,Mar,6057
2010,Apr,5993
2010,May,6462
2011,Jan,6276
2011,Feb,5461
2011,Mar,6160
2011,Apr,6154
2011,May,6984
2012,Jan,6146
2012,Feb,6165
2012,Mar,6260
2012,Apr,6168
2012,May,6835
2013,Jan,6468
2013,Feb,5576
2013,Mar,6253
2013,Apr,6416
2013,May,6837
2014,Jan,7040
2014,Feb,6632
2014,Mar,6362
2014,Apr,6122
2014,May,6644
2015,Jan,6348
2015,Feb,5642
2015,Mar,6516
2015,Apr,6372
2015,May,7019
2016,Jan,6778
2016,Feb,6258
2016,Mar,6535
2016,Apr,7150
2016,May,8214
2017,Jan,6644
2017,Feb,6019
2017,Mar,6708
2017,Apr,6618
2017,May,7648
2018,Jan,6607
2018,Feb,5958
2018,Mar,6733
2018,Apr,6657
2018,May,7072
2019,Jan,6789
2019,Feb,6022
2019,Mar,6458
2019,Apr,6865
2019,May,7342
2020,Jan,7449
2020,Feb,6331
2020,Mar,6629
2020,Apr,6655
2020,May,6687
